CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	R1	R123
1341	HEAT UP	calentar	"{""221"": 7, ""2493"": 7, ""1100"": 4, ""948"": 2, ""1286"": 1, ""928"": 1, ""1962"": 1, ""67"": 1, ""1365"": 1, ""256"": 1, ""737"": 1, ""1287"": 1, ""141"": 1, ""1343"": 1}"	"{""221"": 21, ""2493"": 9, ""1100"": 6, ""948"": 4, ""256"": 4, ""1286"": 1, ""1343"": 3, ""1365"": 2, ""737"": 2, ""859"": 2, ""1287"": 2, ""1143"": 2, ""1471"": 2, ""141"": 2, ""928"": 1, ""603"": 1, ""27"": 1, ""1962"": 1, ""138"": 1, ""67"": 1, ""854"": 1, ""1480"": 1, ""617"": 1, ""1499"": 1, ""3460"": 1, ""1490"": 1, ""156"": 1, ""1448"": 1}"
123	FOREHEAD	frente	"{""1243"": 13, ""1560"": 8, ""1256"": 5, ""1252"": 4, ""2294"": 1, ""690"": 1, ""815"": 1, ""1202"": 1, ""244"": 1, ""1562"": 1, ""1941"": 1}"	"{""1243"": 17, ""1560"": 17, ""1252"": 10, ""1256"": 9, ""690"": 4, ""1040"": 4, ""1291"": 3, ""579"": 2, ""1480"": 2, ""1202"": 2, ""2294"": 1, ""1335"": 1, ""1362"": 1, ""2252"": 1, ""989"": 1, ""1498"": 1, ""1092"": 1, ""1287"": 1, ""815"": 1, ""244"": 1, ""1010"": 1, ""1562"": 1, ""1941"": 1, ""1650"": 1, ""3830"": 1, ""2271"": 1, ""763"": 1, ""728"": 1}"
2755	BUSY	ocupado	"{""984"": 14, ""1379"": 4, ""1757"": 2, ""905"": 1, ""1299"": 1, ""1238"": 1, ""1429"": 1, ""1562"": 1, ""1209"": 1}"	"{""984"": 23, ""1379"": 8, ""1757"": 3, ""905"": 2, ""1429"": 2, ""892"": 2, ""1299"": 1, ""589"": 1, ""3711"": 1, ""1238"": 1, ""1685"": 1, ""301"": 1, ""1562"": 1, ""1240"": 1, ""2430"": 1, ""1235"": 1, ""1676"": 1, ""477"": 1, ""98"": 1, ""1209"": 1}"
992	CLIFF	acantilado	"{""1474"": 4, ""948"": 3, ""711"": 3, ""1810"": 3, ""3810"": 3, ""1930"": 2, ""639"": 2, ""1280"": 1, ""682"": 1, ""1010"": 1, ""113"": 1, ""954"": 1, ""2534"": 1, ""1624"": 1, ""960"": 1}"	"{""1474"": 11, ""1810"": 9, ""948"": 6, ""711"": 4, ""1930"": 4, ""639"": 4, ""3810"": 4, ""960"": 3, ""1280"": 2, ""1343"": 2, ""27"": 1, ""671"": 1, ""943"": 1, ""947"": 1, ""1102"": 1, ""743"": 1, ""1287"": 1, ""1863"": 1, ""682"": 1, ""1010"": 1, ""1216"": 1, ""891"": 1, ""113"": 1, ""706"": 1, ""73"": 1, ""954"": 1, ""2534"": 1, ""1829"": 1, ""705"": 1, ""25"": 1, ""1228"": 1, ""1624"": 1, ""2002"": 1}"
3608	WARRIOR	guerrero	"{""785"": 6, ""1941"": 4, ""3"": 2, ""1229"": 1, ""951"": 1, ""1061"": 1, ""579"": 1, ""369"": 1, ""1064"": 1, ""202"": 1, ""1423"": 1, ""1304"": 1, ""216"": 1, ""647"": 1, ""764"": 1}"	"{""785"": 9, ""1941"": 8, ""3"": 6, ""1061"": 5, ""946"": 4, ""579"": 3, ""1535"": 3, ""202"": 3, ""951"": 1, ""615"": 2, ""945"": 2, ""764"": 2, ""1669"": 1, ""1229"": 1, ""369"": 1, ""1783"": 1, ""1064"": 1, ""1554"": 1, ""3628"": 1, ""90"": 1, ""1423"": 1, ""1304"": 1, ""216"": 1, ""647"": 1, ""972"": 1}"
695	GO	ir	"{""1446"": 10, ""1443"": 2, ""1444"": 3, ""1387"": 2, ""3665"": 2, ""3644"": 1, ""1252"": 1, ""765"": 1, ""1158"": 1, ""3460"": 1, ""1107"": 1}"	"{""1446"": 14, ""1443"": 6, ""1444"": 8, ""1387"": 7, ""2252"": 6, ""3665"": 6, ""765"": 3, ""1252"": 2, ""1107"": 2, ""1085"": 2, ""984"": 2, ""3644"": 1, ""1591"": 1, ""1362"": 1, ""1663"": 1, ""3111"": 1, ""813"": 1, ""956"": 1, ""1406"": 1, ""1417"": 1, ""1158"": 1, ""3460"": 1, ""987"": 1, ""1631"": 1, ""892"": 1, ""1455"": 1, ""2549"": 1, ""210"": 1}"
1401	DRINK	beber	"{""1749"": 36, ""948"": 9, ""404"": 5, ""848"": 2, ""1524"": 2, ""731"": 1, ""1321"": 1, ""1639"": 1, ""1006"": 1, ""604"": 1, ""1342"": 1}"	"{""1749"": 37, ""948"": 26, ""404"": 14, ""848"": 10, ""604"": 7, ""731"": 6, ""1639"": 6, ""897"": 4, ""1524"": 4, ""1336"": 2, ""2524"": 1, ""1424"": 1, ""674"": 1, ""1321"": 1, ""1421"": 1, ""3687"": 1, ""1507"": 1, ""1346"": 1, ""789"": 1, ""1499"": 1, ""1006"": 1, ""1198"": 1, ""643"": 1, ""666"": 1, ""847"": 1, ""1342"": 1}"
1992	MORE	más	"{""1198"": 9, ""948"": 1, ""1240"": 1, ""1242"": 1, ""98"": 1}"	"{""1198"": 17, ""1119"": 2, ""1202"": 2, ""923"": 2, ""1577"": 2, ""948"": 1, ""711"": 1, ""1243"": 1, ""1591"": 1, ""256"": 1, ""1498"": 1, ""1010"": 1, ""1429"": 1, ""1240"": 1, ""1828"": 1, ""1210"": 1, ""759"": 1, ""1242"": 1, ""1410"": 1, ""98"": 1}"
1011	BRIDGE	puente	"{""948"": 8, ""666"": 8, ""1367"": 3, ""667"": 2, ""711"": 1, ""1243"": 1, ""3311"": 1, ""1362"": 1, ""1096"": 1, ""1485"": 1, ""849"": 1, ""621"": 1, ""1203"": 1, ""1474"": 1}"	"{""666"": 18, ""948"": 16, ""2252"": 8, ""1367"": 6, ""667"": 4, ""711"": 3, ""3311"": 3, ""1203"": 3, ""113"": 3, ""994"": 2, ""1474"": 2, ""27"": 1, ""1243"": 1, ""1591"": 1, ""1362"": 1, ""1096"": 1, ""1970"": 1, ""1840"": 1, ""1525"": 1, ""1485"": 1, ""1037"": 1, ""2142"": 1, ""849"": 1, ""785"": 1, ""621"": 1, ""682"": 1, ""1387"": 1, ""658"": 1, ""1803"": 1, ""1562"": 1, ""781"": 1, ""857"": 1, ""1829"": 1, ""3665"": 1, ""1422"": 1}"
1330	DEFEND	defender	"{""2900"": 8, ""253"": 7, ""722"": 3, ""1423"": 3, ""1064"": 2, ""89"": 2, ""951"": 1, ""1897"": 1, ""1601"": 1, ""3302"": 1, ""194"": 1, ""3628"": 1, ""682"": 1, ""2009"": 1, ""972"": 1, ""1410"": 1, ""1676"": 1, ""1941"": 1}"	"{""2900"": 15, ""253"": 10, ""1064"": 5, ""1423"": 1, ""722"": 3, ""194"": 3, ""3302"": 2, ""202"": 2, ""89"": 2, ""928"": 1, ""951"": 1, ""1897"": 1, ""579"": 1, ""1035"": 1, ""1601"": 1, ""1330"": 1, ""1380"": 1, ""1535"": 1, ""1208"": 1, ""3628"": 1, ""682"": 1, ""2429"": 1, ""1216"": 1, ""1069"": 1, ""2009"": 1, ""972"": 1, ""150"": 1, ""1410"": 1, ""1676"": 1, ""1941"": 1, ""210"": 1, ""1209"": 1}"
